학년	이수구분	학수번호-수업번호	교과목명	교강사	학점	시간	강의실
3	전공심화	ARE4002-10001	구조해석	박예원	3	화(13:00-14:30),목(13:00-14:30)	재성토목관302강의실
3	전공핵심	CIE3008-10002	토질역학및실험	추현욱	3	화(09:00-11:00),목(09:00-11:00)	재성토목관302강의실
3	전공핵심	CIE3021-10003	철근콘크리트공학	우병훈	3	금(13:00-14:30),금(14:30-16:00)	재성토목관302강의실
4	전공심화	CIE4009-10004	기초공학	박두희	3	화(10:30-12:00),목(10:30-12:00)	재성토목관103강의실
3	전공핵심	CIE4011-10005	수리학및실험	전정숙	3	수(11:00-13:00),금(11:00-13:00)	재성토목관302강의실
4	전공심화	CIE4034-10006	수자원및하천공학	강석구	3	금(13:00-14:30),금(14:30-16:00)	재성토목관PBL강의실(301)
4	전공심화	CIE4044-10007	강구조설계	최동호	3	월(10:30-12:00),수(10:30-12:00)	재성토목관201강의실
4	전공심화	CIE4045-10008	디지털건설	서종원	3	화(15:00-17:00),목(15:00-17:00)	재성토목관302강의실,재성토목관멀티미디어실305호
4	전공심화	CIE4067-10010	건설환경공학종합설계1	김영모	1	시간미지정강좌	비지정()
3	전공핵심	EEC3005-10011	상하수도공학	김종오	3	월(13:00-14:30),월(14:30-16:00)	재성토목관302강의실
3	교양필수	GEN5026-10042	테크노경영학(스타트업종합설계)	안광일	3	월(09:00-10:30)	제1공학관604강의실(녹화전용),
2	전공기초(필수)	COE3051-11320	공업수학1	신교일	3	월(10:30-12:00),목(10:30-12:00)	제1공학관508강의실
2	전공기초(필수)	COE3051-11226	공업수학1	김재희	3	월(10:30-12:00),목(10:30-12:00)	제1공학관302강의실
2	전공핵심	CIE2071-11183	건설공간정보학및실습	한상욱	3	월(15:00-17:00),수(13:00-15:00)	재성토목관103강의실,재성토목관멀티미디어실305호
2	전공핵심	CIE3011-11184	콘크리트공학및실험	유재석	3	월(13:00-15:00),수(09:00-11:00)	재성토목관103강의실
2	전공핵심	COE2051-11185	공업역학	김민선	3	화(14:30-16:00),목(14:30-16:00)	재성토목관103강의실
2	전공기초(필수)	COE3051-11186	공업수학1	노우석	3	월(10:30-12:00),목(10:30-12:00)	제1공학관303강의실
1	전공기초(필수)	CUL3011-11193	일반물리학및실험1	이원욱	4	수(13:00-15:00),목(09:00-11:00)	제1공학관304강의실,,자연과학관일반물리학실험실3(212),자연과학관일반물리학실험실4(213)
1	교양필수	GEN5029-11197	커리어개발Ⅰ:취.창업진로로드맵	서종원	1	시간미지정강좌	비지정()
2	교양필수	GEN6032-11198	전문학술영어	Ian Gareth Robert Jones	3	화(10:30-12:00),금(10:30-12:00)	제2공학관305강의실
1	교양필수	CUL0203-11189	AI시대쓰기의힘	노희호	2	화(11:00-13:00)	제1공학관206강의실
1	전공기초(필수)	GEN0072-11194	일반화학및실험	최한	3	금(15:00-17:00),수(09:00-11:00)	제1공학관402강의실,자연과학관일반화학실험실1(114),자연과학관일반화학실험실2(116)
1	전공기초(필수)	GEN2052-11195	미분적분학1	연미정	3	화(14:30-16:00),목(16:00-17:30)	제1공학관402강의실
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공기초(필수)	CUL3011-12554	일반물리학및실험1	김호영	4	수(13:00-15:00),목(09:00-11:00)	제1공학관305강의실,,자연과학관일반물리학실험실5(217),자연과학관일반물리학실험실6(218)
3	교양필수	GEN5026-12591	테크노경영학(스타트업종합설계)	박찬용	3	월(09:00-10:30)	제1공학관601강의실,
2	교양필수	GEN6032-12392	전문학술영어	Esther du Plessis	3	화(10:30-12:00),금(10:30-12:00)	제2공학관306강의실
1	교양필수	CUL0202-12511	문화기술인간	홍유진	2	금(11:00-13:00)	제1공학관409강의실
1	교양필수	CUL0202-12512	문화기술인간	김봉국	2	금(11:00-13:00)	제1공학관501강의실
1	교양필수	CUL0202-12513	문화기술인간	남영	2	금(11:00-13:00)	제1공학관602강의실
2	교양필수	CUL1138-12006	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()
1	전공기초(필수)	GEN2052-12574	미분적분학1	오수진	3	화(14:30-16:00),목(16:00-17:30)	제1공학관403강의실
1	교양필수	CUL0202-11761	문화기술인간	김준수	2	금(11:00-13:00)	제1공학관505강의실
1	교양필수	CUL0203-12454	AI시대쓰기의힘	임은희	2	화(11:00-13:00)	제1공학관406강의실
1	교양필수	CUL0203-12455	AI시대쓰기의힘	문혜연	2	화(11:00-13:00)	제1공학관507강의실
1	교양필수	GEN5029-12869	커리어개발Ⅰ:취.창업진로로드맵	김진우	1	시간미지정강좌	비지정()
1	교양필수	GEN5029-12870	커리어개발Ⅰ:취.창업진로로드맵	유재석	1	시간미지정강좌	비지정()
1	교양필수	GEN5029-12871	커리어개발Ⅰ:취.창업진로로드맵	추현욱	1	시간미지정강좌	비지정()
4	전공심화	CIE4067-12873	건설환경공학종합설계1	강석구	1	시간미지정강좌	비지정()
4	전공심화	CIE4067-12874	건설환경공학종합설계1	박두희	1	시간미지정강좌	비지정()
