학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
4	전공핵심/전공심화	DBC4023-10807	생물정보학	임태연	3	월(11:00-13:00),수(11:00-13:00)	IT.BT관910강의실		29	
2	전공기초(필수)	COE3051-11355	공업수학1	신교일	3	월(14:30-16:00),목(14:30-16:00)	제1공학관508강의실		44	공학인증구분
1	교양필수	CUL0201-11238	상상과학성찰	김성희	2	월(13:00-15:00)	제1공학관103강의실		39	공학인증구분
3	전공핵심	BIO4001-10794	분자생물학	이민형	3	월(10:30-12:00),수(10:30-12:00)	IT.BT관902강의실		36	
3	전공심화	BNG3001-10795	생명공학실험1(URIP)	이민형	2	목(09:00-13:00)	IT.BT관910강의실		35	
4	전공심화	BNG3002-10796	기초면역학	임태연	3	월(09:00-10:30),수(09:00-10:30)	IT.BT관901강의실		32	
3	전공심화	BTN3004-10797	생체분자공학	류성언	3	금(13:00-14:30),금(14:30-16:00)	IT.BT관902강의실		35	
4	전공심화	BTN4003-10798	생명의약전달시스템	김용희	3	화(13:00-14:30),목(13:00-14:30)	IT.BT관901강의실		22	
4	전공심화	BTN4008-10799	단백질효소공학	이동윤	3	화(10:30-12:00),목(10:30-12:00)	IT.BT관902강의실		30	
4	전공심화	BTN4014-10800	생명공학종합설계1	류성언	1	토(10:00-12:00)	비지정()		22	
4	전공심화	BTN4016-10801	항암유전자치료제의정제/생산및분석실습	윤채옥	3	수(15:00-17:00),수(17:00-19:00)	IT.BT관910강의실		11	
3	전공핵심	CHM3007-10802	고분자화학	임동현	3	화(10:30-12:00),목(13:00-14:30)	IT.BT관901강의실,IT.BT관910강의실		17	공학인증구분
3	전공심화	COE1010-10803	실용공학연구1	윤채옥	1	시간미지정강좌	비지정()		13	
4	전공심화	COE1012-10804	실용공학연구3	윤채옥	1	시간미지정강좌	비지정()		2	
3	전공심화/전공핵심	CPE1002-10805	생리학	임태연	3	월(14:30-16:00),수(14:30-16:00)	IT.BT관901강의실		34	
2	전공기초(필수)	COE3051-11201	공업수학1	김재희	3	월(14:30-16:00),목(14:30-16:00)	제1공학관302강의실		50	공학인증구분
1	교양필수	GEN5029-12953	커리어개발Ⅰ:취.창업진로로드맵	이동윤	1	월(16:00-17:00)	IT.BT관901강의실		19	공학인증구분
1	교양필수	GEN5029-12954	커리어개발Ⅰ:취.창업진로로드맵	임동현	1	월(16:00-17:00)	IT.BT관910강의실		11	공학인증구분
2	교양필수	CUL1138-12544	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		999	공학인증구분
2	교양필수	CUL1138-12545	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		151	공학인증구분
2	교양필수	CUL1138-12546	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		62	공학인증구분
2	교양필수	CUL1138-12547	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		46	공학인증구분
2	교양필수	CUL1138-12548	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		48	공학인증구분
2	교양필수	CUL1138-12549	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		68	공학인증구분
2	교양필수	GEN6032-12440	전문학술영어	Mark A. Rublik	3	월(13:00-14:30),목(16:00-17:30)	제2공학관309강의실		9	공학인증구분
2	교양필수	CUL1138-12006	인공지능과기계학습	성기혁	2	시간미지정강좌	비지정()		113	공학인증구분
1	전공기초(필수)	GEN2052-12586	미분적분학1	변양현	3	화(10:30-12:00),금(13:00-14:30)	제1공학관403강의실		49	공학인증구분
1	전공기초(필수)	GEN2052-12587	미분적분학1	이현미	3	화(10:30-12:00),금(13:00-14:30)	자연과학관202강의실,자연과학관227강의실		55	공학인증구분
2	전공핵심	BTN2002-12033	생명공학입문	이민형	3	화(13:00-14:30),화(14:30-16:00)	IT.BT관902강의실		41	
2	전공핵심	CHE2001-12034	공업물리화학1	임동현	3	화(09:00-10:30),수(14:30-16:00)	IT.BT관902강의실		40	
1	전공기초(필수)	CHM1005-12035	일반화학및실험1	김민경	4	금(11:00-13:00),화(15:00-17:00)	제1공학관604강의실(녹화전용),,자연과학관일반화학실험실2(116),자연과학관일반화학실험실1(114)		46	공학인증구분
2	전공기초(필수)	COE3051-12036	공업수학1	이성열	3	월(14:30-16:00),목(14:30-16:00)	제1공학관303강의실		55	공학인증구분
1	전공기초(필수)	CUL3011-12040	일반물리학및실험1	하은자	4	월(09:00-11:00),목(15:00-17:00)	제1공학관304강의실,,자연과학관일반물리학실험실6(218),자연과학관일반물리학실험실5(217)		52	공학인증구분
2	전공핵심	DBC2001-12041	생화학1	이민형	3	월(09:00-10:30),수(09:00-10:30)	IT.BT관902강의실		43	
1	전공기초(필수)/전공핵심	GEN1016-12042	일반생물학	유기현	3	목(09:00-10:30),목(10:30-12:00)	IT.BT관901강의실		46	
1	전공기초(필수)	GEN2052-12028	미분적분학1	황신철	3	화(10:30-12:00),금(13:00-14:30)	제1공학관402강의실		68	공학인증구분
1	교양필수	CUL0201-12487	상상과학성찰	장신혜	2	월(13:00-15:00)	제1공학관201강의실		31	공학인증구분
1	교양필수	GEN5029-12045	커리어개발Ⅰ:취.창업진로로드맵	이민형	1	월(17:00-18:00)	IT.BT관902강의실		16	공학인증구분
2	교양필수	GEN6032-12046	전문학술영어	Ed Topliffe	3	월(13:00-14:30),목(16:00-17:30)	제2공학관307강의실		20	공학인증구분
2	전공핵심	ICH2001-12047	공업유기화학1	신흥수	3	월(10:30-12:00),수(10:30-12:00)	IT.BT관901강의실		38	
4	전공심화	COE1012-13384	실용공학연구3	류성언	1	시간미지정강좌	비지정()		4	
4	전공심화	BTN4014-13328	생명공학종합설계1	윤채옥	1	토(10:00-12:00)	비지정()		16	
1	교양필수	CUL0201-13407	상상과학성찰	천미림	2	월(13:00-15:00)	제2공학관210강의실		17	공학인증구분
