학년	이수구분이수구분	학수번호-수업번호학수번호-수업번호	교과목명교과목명	교강사교강사	학점학점	시간시간	강의실강의실	강의평강의평	담은 인원담은 인원	유의사항유의사항
3	교양필수	GEN5026-10213	테크노경영학(스타트업종합설계)	김수진	3	목(13:00-14:30)	제1공학관405강의실,		50	공학인증구분
2	전공기초(필수)	COE3051-11387	공업수학1	노우석	3	화(10:30-12:00),금(10:30-12:00)	제1공학관302강의실,제1공학관508강의실		67	공학인증구분
3	전공핵심	CHE3005-10777	화공열역학1	박기호	3	월(14:30-16:00),수(09:00-10:30)	제2공학관502강의실		25	공학인증구분
3	전공핵심	CHE3009-10778	반응공학	서영웅	3	화(16:00-17:30),목(14:30-16:00)	제2공학관501강의실		46	공학인증구분
3	전공핵심	CHM3007-10780	고분자화학	고민재	3	월(10:30-12:00),수(10:30-12:00)	제2공학관510강의실(녹화전용)		55	공학인증구분
4	전공심화	CHM3067-10781	화공응용실험	염봉준	2	수(16:00-20:00)	공업센터화공전산실습실		29	공학인증구분
4	전공심화	CHM4102-10785	화학공학종합설계(URIP)	고민재	3	토(13:00-16:00)	비지정()		10	공학인증구분
4	전공심화	CME4001-10786	에너지소재	김동원	3	화(09:00-10:30),수(09:00-10:30)	제2공학관203강의실,제2공학관206강의실		26	공학인증구분
3	전공기초(필수)	COE3053-10787	공업수학3	김경학	3	월(09:00-10:30),화(09:00-10:30)	제1공학관203강의실,제1공학관201강의실		46	공학인증구분
4	전공심화	ICH4014-10790	고분자공학	염봉준	3	월(16:00-17:30),화(16:00-17:30)	제2공학관313강의실(녹화전용),제2공학관206강의실		38	공학인증구분
3	전공핵심	MEE3007-10791	유체역학	임희대	3	화(10:30-12:00),목(10:30-12:00)	신소재공학관707호/708호,제1공학관208강의실		69	공학인증구분
4	전공심화	CHM4092-10784	센서소재설계	김종만	3	화(13:00-14:30),목(16:00-17:30)	제2공학관해동AILab_402,제2공학관311강의실		56	공학인증구분
3	전공심화/전공핵심	ICH4002-10789	전기화학	김동원	3	월(16:00-17:30),수(14:30-16:00)	제2공학관206강의실,제1공학관204강의실		26	공학인증구분
3	전공핵심	MEE3007-13041	유체역학	염봉준	3	화(10:30-12:00),목(10:30-12:00)	제2공학관510강의실(녹화전용),제2공학관209강의실		23	공학인증구분
2	전공기초(필수)	COE3051-12652	공업수학1	이성열	3	화(10:30-12:00),금(10:30-12:00)	제1공학관303강의실		48	공학인증구분
3	전공심화	ICH4002-13038	전기화학	장윤정	3	월(16:00-17:30),수(14:30-16:00)	제2공학관209강의실,제1공학관302강의실		34	공학인증구분
3	전공핵심	CHM3007-13039	고분자화학	김도환	3	월(10:30-12:00),수(10:30-12:00)	신소재공학관707호/708호,제2공학관205강의실		27	공학인증구분
1	전공기초(필수)	CUL3011-12563	일반물리학및실험1	조진호	4	금(15:00-17:00),화(13:00-15:00)	제1공학관305강의실,,자연과학관일반물리학실험실5(217),자연과학관일반물리학실험실6(218)		27	공학인증구분
